method,spamming_rate,divisiveness_rate,majority_accuracy,minority_accuracy,majority_f1,minority_f1
MACE,0.15,1.0,0.994,0.006,0.9934065934065934,0.0079840319361277
NUTMEG,0.15,1.0,0.996,0.81,0.9956140350877192,0.8484848484848485
MACE,0.2,0.0,0.996,0.996,0.9958677685950412,0.9958677685950412
NUTMEG,0.2,0.0,0.992,0.824,0.991701244813278,0.7874396135265701
MACE,0.2,0.1,0.986,0.928,0.9855072463768116,0.9256198347107438
NUTMEG,0.2,0.1,0.986,0.812,0.9855072463768116,0.833922261484099
MACE,0.2,0.2,0.992,0.838,0.9917695473251028,0.8329896907216495
NUTMEG,0.2,0.2,0.996,0.82,0.9958847736625516,0.782608695652174
MACE,0.2,0.3,0.984,0.754,0.9831932773109244,0.7432150313152401
NUTMEG,0.2,0.3,0.99,0.798,0.989517819706499,0.7518427518427518
MACE,0.2,0.4,0.98,0.658,0.9793388429752066,0.6459627329192547
NUTMEG,0.2,0.4,0.99,0.812,0.989648033126294,0.7718446601941747
MACE,0.2,0.5,0.986,0.542,0.9859719438877756,0.5336048879837068
NUTMEG,0.2,0.5,0.986,0.82,0.9859719438877756,0.8381294964028777
MACE,0.2,0.6,0.986,0.368,0.986460348162476,0.3705179282868526
NUTMEG,0.2,0.6,0.984,0.79,0.9845559845559846,0.8167539267015707
MACE,0.2,0.7,0.988,0.262,0.9885496183206108,0.2693069306930693
NUTMEG,0.2,0.7,0.984,0.79,0.9847328244274808,0.8141592920353983
MACE,0.2,0.8,0.992,0.17,0.9922178988326849,0.1683366733466934
NUTMEG,0.2,0.8,0.992,0.814,0.9922178988326849,0.7714987714987716
MACE,0.2,0.9,0.99,0.088,0.9902912621359224,0.0843373493975903
NUTMEG,0.2,0.9,0.986,0.812,0.9864077669902912,0.7729468599033816
MACE,0.2,1.0,0.982,0.018,0.9825918762088974,0.0199600798403193
NUTMEG,0.2,1.0,0.986,0.778,0.9865125240847784,0.806282722513089
MACE,0.25,0.0,0.996,0.996,0.99601593625498,0.99601593625498
NUTMEG,0.25,0.0,0.974,0.772,0.9743589743589745,0.8054607508532423
MACE,0.25,0.1,0.98,0.896,0.9798387096774194,0.896414342629482
NUTMEG,0.25,0.1,0.974,0.794,0.9737373737373738,0.8257191201353637
MACE,0.25,0.2,0.98,0.808,0.979757085020243,0.808
