method,spamming_rate,divisiveness_rate,competence_correlation,majority_competence_correlation,minority_competence_correlation
MACE,0.1,0.8,0.278859456874194,0.3529828471067651,0.034335672911157335
NUTMEG,0.1,0.8,0.7907377964063079,0.8071843348388978,0.7839323053866251
MACE,0.1,0.9,0.3727150573086449,0.4102451531223583,0.37988603115632913
NUTMEG,0.1,0.9,0.8461405591800915,0.8573764809228384,0.20280706936502504
MACE,0.1,1.0,0.2663377211789869,0.2438400779041018,0.332837870770271
NUTMEG,0.1,1.0,0.8001895020250797,0.8565806918097336,0.5351622293106134
MACE,0.15,0.0,0.942252728658823,0.9472788892590381,0.9188535996454413
NUTMEG,0.15,0.0,0.8742413125330603,0.8771659743966046,0.8616371075217525
MACE,0.15,0.1,0.8085056520847538,0.8448236031026132,0.6613596852591108
NUTMEG,0.15,0.1,0.820870248158864,0.8836269814946817,0.5249986628920817
MACE,0.15,0.2,0.7148814060044749,0.7437127369125833,0.5768932009823367
NUTMEG,0.15,0.2,0.8894423522798864,0.8885326149319258,0.9017792663594385
MACE,0.15,0.3,0.4710899224463507,0.4830763532875691,0.4430204332474715
NUTMEG,0.15,0.3,0.8144030340279567,0.8675629617585775,0.657014270871913
MACE,0.15,0.4,0.4767904196945516,0.49966673069632395,0.38972735423352267
NUTMEG,0.15,0.4,0.7890699672082202,0.8185617772644352,0.6985574325667168
MACE,0.15,0.5,0.34138093028966143,0.3026853270193154,0.4529274055921817
NUTMEG,0.15,0.5,0.7856953240970229,0.7445501729994577,0.8471592751761196
MACE,0.15,0.6,0.32206529910910175,0.3193874956230175,0.33506748523372104
NUTMEG,0.15,0.6,0.7949000932918426,0.7803354549588533,0.876162957077679
MACE,0.15,0.7,0.36657890523816394,0.32706174316843134,0.4723373269518156
NUTMEG,0.15,0.7,0.8460082088078518,0.8662707170700104,0.827726979079981
MACE,0.15,0.8,0.3422551959872036,0.3332573678987788,0.4051764178830886
NUTMEG,0.15,0.8,0.8681355426901658,0.8610857016328677,0.9419391289717202
MACE,0.15,0.9,0.34007428996621586,0.31504531192445484,0.42704754651718807
NUTMEG,0.15,0.9,0.8849514147170517,0.8852707770584868,0.8875906747759067
